ProductID,ProductName,CategoryID,Description,UnitPrice,StockQuantity,,,,)
P001,Phone Table,C004,Myself woman wide book.,124.71,96,,,,
P002,Traditional Table,C002,Eat arrive believe drive.,339.53,34,,,,
P003,Suddenly Table,C004,Which own between should into realize.,357.63,72,,,,
P004,Bag Table,C002,Sound moment machine produce bed.,393.27,38,,,,
P005,Less Table,C003,Source perhaps institution build require.,400.67,87,,,,
P006,Front Table,C004,Toward down table general.,395.88,69,,,,
P007,Expect Table,C003,Indicate relationship practice these dinner.,415.17,67,,,,
P008,Movement Table,C004,Power wait foreign themselves order.,289.5,84,,,,
P009,Foot Table,C004,Unit performance through figure issue for.,234.14,36,,,,
P010,Nor Table,C003,Poor age place actually maybe.,344.09,44,,,,
P011,Save Table,C003,And beat price just.,276.7,94,,,,
P012,Character Table,C003,Cut glass clearly test building season.,204.33,10,,,,
P013,Above Table,C002,Catch necessary knowledge happen reach doctor room.,256.28,96,,,,
P014,Real Table,C001,Quality fund participant opportunity.,77.27,68,,,,
P015,Network Table,C002,Floor evidence use relationship reflect car thus.,381.1,11,,,,
P016,Never Table,C002,Sure main stock appear.,152.19,75,,,,
P017,Remember Table,C005,Each specific law among question.,328.78,99,,,,
P018,Matter Table,C005,At what international development.,175.56,42,,,,
P019,Clearly Table,C002,Per certainly pretty tax tax.,146.33,100,,,,
P020,Song Table,C001,Smile and Mrs section provide drug guy.,185.71,22,,,,
P021,Statement Table,C002,Truth commercial system current.,424.02,10,,,,
P022,Same Table,C001,The sea product feeling alone paper at.,221.43,27,,,,
P023,Fine Table,C004,Year garden watch late move big hard other.,199.16,86,,,,
P024,Camera Table,C005,Policy else community every floor number sense.,186.98,19,,,,
P025,Develop Table,C004,Hear above describe because.,490.19,3,,,,
P026,Finish Table,C001,Impact generation rich story want.,436.27,16,,,,
P027,Pay Table,C005,Probably fact head career.,265.54,22,,,,
P028,Important Table,C002,Half himself seek we Congress.,444.68,2,,,,
P029,Throw Table,C004,Establish some spend either middle.,108.81,86,,,,
P030,International Table,C004,Smile ball free rather agree sort industry.,366.89,34,,,,
P031,Bring Table,C001,Will word one beautiful history western.,309.55,62,,,,
P032,Exactly Table,C003,Recently too rate exactly happen on lawyer.,269.93,87,,,,
P033,Doctor Table,C005,Wonder story might enter.,425.73,1,,,,
P034,Form Table,C002,Believe well poor watch else staff same.,367.77,97,,,,
P035,Them Table,C004,Final what because media.,366.95,52,,,,
P036,Good Table,C002,Exist sometimes few officer.,247.31,10,,,,
P037,General Table,C004,By face whatever year send full perhaps.,484.62,90,,,,
P038,Word Table,C002,Student responsibility perhaps cost alone democratic position.,348.61,0,,,,
P039,Song Table,C003,Meet focus series history this address with.,136.15,76,,,,
P040,Agency Table,C004,Thing very history least budget.,108.69,63,,,,
